Date	,MCC_Code,Amount	,Transaction Type	,Bank Name	,Account Number	,Currency	
20-01-2025,5732,840.53,Credit,Alinma,DK57 9926 1129 3100 45,SAR
30-05-2025,6011,31.64,Debit,Alinma,IE32 AQXK 8849 2478 6796 91,SAR
03-04-2025,7011,738.92,Credit,Alinma,FR77 5138 5625 195F 1IFF JECC A88,SAR
05-06-2025,4814,750.67,Credit,Alinma,BH86 XBIE OY5Y UK16 HWA4 MI,SAR
09-03-2025,5732,272.87,Credit,Alinma,AD59 0390 9233 Z3ZU ENUU NL2P,SAR
22-07-2025,7011,367.96,Debit,Alinma,MT62 ORZW 9059 7VZJ DP4J MMTR JKP3 KWB,SAR
19-07-2025,4814,670.64,Credit,Alinma,DO30 F1UX 3330 4487 3372 3209 6242,SAR
25-01-2025,5411,15.23,Credit,Alinma,AT97 9082 3141 1947 7115,SAR
05-07-2025,5411,580.85,Debit,Alinma,TN52 8926 3088 2982 4233 9738,SAR
26-02-2025,5912,87.9,Debit,Alinma,GR08 2872 901Z UQLQ UP5Z BDAC HUK,SAR
03-03-2025,4111,218.6,Credit,Alinma,IE19 CDNN 5725 2460 1706 06,SAR
17-05-2025,5912,512.9,Credit,Alinma,FO47 1782 9027 5231 40,SAR
25-05-2025,5411,479.32,Debit,Alinma,FR83 0469 7914 10MC VUMU QDDW N66,SAR
25-03-2025,5814,415.93,Debit,Alinma,AE35 2219 2615 2377 9957 979,SAR
27-01-2025,5912,778.02,Debit,Alinma,HR15 6935 5986 6228 4683 3,SAR
07-02-2025,5912,683.8,Debit,Alinma,AE64 4186 0458 2224 9823 358,SAR
21-04-2025,5411,365.2,Credit,Alinma,CZ82 9055 6474 8241 3408 9965,SAR
12-03-2025,5541,453.25,Debit,Alinma,GI67 TYAJ UXAF HCIM 6OP2 F7V,SAR
14-01-2025,5732,917.49,Credit,Alinma,SK88 0875 9438 1540 4952 9631,SAR
14-02-2025,4814,259.06,Debit,Alinma,FR71 9483 9654 29JW EAXS 1ZMC D71,SAR
14-07-2025,5411,723.74,Debit,Alinma,LU36 759Q CA6R VD8G VK6O,SAR
16-07-2025,5814,169.88,Debit,Alinma,PK30 PMAQ OIUD DUHZ B0NA 270T,SAR
17-05-2025,4111,303.49,Debit,Alinma,BG47 JONU 8423 91UV DQB0 2P,SAR
26-03-2025,5732,701.55,Credit,Alinma,LT86 4125 4507 0646 0311,SAR
03-02-2025,7832,135.56,Credit,Alinma,FI20 4861 1055 2175 89,SAR
28-04-2025,5814,544.3,Debit,Alinma,VG27 UPLT 2412 7036 2357 1720,SAR
01-05-2025,4814,991.92,Debit,Alinma,NL12 ZWXX 2817 3166 28,SAR
02-01-2025,4814,729.52,Credit,Alinma,FR80 1553 4842 51JL D0J7 YDA8 A67,SAR
09-06-2025,5411,620.64,Debit,Alinma,CY30 1882 3201 9T4O S543 OZEP S1ZS,SAR
15-03-2025,4111,331.74,Debit,Alinma,CH50 7011 3ZTR CGEB 2O6X Z,SAR
21-02-2025,5411,407.82,Debit,Alinma,FR74 0931 8354 54CD 0DWA WDRO 993,SAR
17-04-2025,5912,135.3,Debit,Alinma,IS57 1293 5367 7952 3067 4690 36,SAR
04-06-2025,5912,914.37,Debit,Alinma,MC79 8145 0778 62BE RSRD 1UQJ H85,SAR
21-02-2025,7011,684.2,Debit,Alinma,FR57 5122 2789 175T O2H2 RBAY 367,SAR
11-05-2025,5912,496.61,Credit,Alinma,VG86 BVVY 7909 6248 4386 7668,SAR
24-05-2025,5814,534.44,Credit,Alinma,FR28 2787 4856 24KL ZUWK IV7L Q81,SAR
30-05-2025,6011,445.48,Debit,Alinma,SE58 2744 8671 8090 8761 5717,SAR
12-05-2025,5912,93.94,Credit,Alinma,DK98 9711 9251 3479 95,SAR
15-07-2025,5912,858.13,Credit,Alinma,BA41 0657 2158 0352 3713,SAR
05-06-2025,6011,356.69,Debit,Alinma,IL65 3539 5004 1943 0122 635,SAR
25-02-2025,5732,180.72,Credit,Alinma,RO89 DIGM DNJJ BACR Z71J I30U,SAR
04-03-2025,5732,643.27,Debit,Alinma,FR10 9499 2493 85WV FVTB ZBFJ 414,SAR
21-05-2025,4814,374.38,Credit,Alinma,LT04 3191 1337 7944 3671,SAR
17-07-2025,5912,995.4,Debit,Alinma,IT85 U012 4230 684Z 0RRL ZH7H 5QJ,SAR
30-06-2025,5732,343.68,Debit,Alinma,CR77 3490 4552 1942 5157 8,SAR
22-05-2025,7832,762.63,Debit,Alinma,EE88 7064 9078 5306 5872,SAR
23-02-2025,6011,725.57,Debit,Alinma,FI67 4361 8902 4284 32,SAR
10-02-2025,5912,79.67,Credit,Alinma,FO47 9791 4757 9414 79,SAR
19-05-2025,4111,431.55,Credit,Alinma,NL86 LZVX 0207 8868 04,SAR
16-01-2025,7011,21.05,Credit,Alinma,DO69 AYDB 3579 4807 9065 2033 0910,SAR
02-06-2025,4814,914.73,Debit,Alinma,LT56 8417 1358 8238 3256,SAR
27-07-2025,5814,31.41,Credit,Alinma,FR82 5020 3898 24O9 LIVB P173 M01,SAR
15-05-2025,5732,892.26,Credit,Alinma,PT71 5595 2476 0357 6041 7422 3,SAR
01-03-2025,4111,290.06,Credit,Alinma,GE19 GL17 8211 1001 7275 29,SAR
23-02-2025,5912,162.22,Credit,Alinma,GL11 0096 5707 8429 00,SAR
14-05-2025,4111,536.89,Debit,Alinma,NL12 VKWI 8541 4765 74,SAR
20-07-2025,7011,609.25,Credit,Alinma,BA53 1900 1247 1671 7535,SAR
04-04-2025,5411,565.74,Debit,Alinma,FR21 8184 6475 53R9 PNLO 6Z0F D33,SAR
24-07-2025,4111,787.35,Debit,Alinma,SE71 3598 2268 7665 3880 2324,SAR
16-03-2025,5411,224.0,Debit,Alinma,BA83 5152 7572 3203 3781,SAR
11-01-2025,5912,950.46,Debit,Alinma,FR51 9770 6756 06SJ MBCJ MBIZ D47,SAR
03-07-2025,5732,11.7,Credit,Alinma,GL70 4995 0387 0229 71,SAR
26-03-2025,6011,196.78,Debit,Alinma,NL21 JKWP 0670 6970 90,SAR
26-06-2025,5732,237.96,Credit,Alinma,MC75 2324 0188 39S6 GT2D 3NY3 P10,SAR
18-03-2025,6011,419.89,Credit,Alinma,PL45 3149 1490 7088 8015 3572 2346,SAR
16-05-2025,4111,959.16,Debit,Alinma,FR57 7073 4120 86DN PORU ZWRH R83,SAR
20-04-2025,5732,388.3,Credit,Alinma,GE37 CO71 7698 0695 3495 42,SAR
06-02-2025,7011,179.07,Credit,Alinma,IT66 N173 9485 677Y VETG G5QF D2L,SAR
16-02-2025,4111,659.78,Debit,Alinma,MU65 RYQZ 5115 1750 9881 3054 565A KL,SAR
07-06-2025,5411,925.79,Debit,Alinma,GT09 MWE2 SVIU OU3K YAYH HTPC 6V9Q,SAR
29-03-2025,5541,450.93,Credit,Alinma,AD23 0975 5928 ZCHB W7KQ ARGM,SAR
08-07-2025,4111,581.91,Credit,Alinma,KZ83 6096 VXJC YHSY HXLO,SAR
20-03-2025,4111,117.04,Debit,Alinma,SI44 8137 9379 8034 346,SAR
15-02-2025,4111,623.23,Credit,Alinma,AT63 6720 7131 6592 7794,SAR
16-03-2025,5411,438.1,Credit,Alinma,DO35 2ABG 2143 3039 0653 9602 3679,SAR
12-05-2025,5814,781.53,Credit,Alinma,CY73 9422 7031 TVPQ PHWG VIOW 7P0Z,SAR
07-06-2025,5732,867.31,Credit,Alinma,PL05 8062 5577 0332 6641 6594 6919,SAR
12-06-2025,4111,536.74,Credit,Alinma,FR84 6788 9077 48LI ZMX2 PG5Q P06,SAR
02-02-2025,5411,153.78,Credit,Alinma,AL09 5485 4061 64SE AQOK A6QE ICVU,SAR
24-07-2025,5732,581.29,Credit,Alinma,SI09 8766 8936 0135 749,SAR
27-07-2025,4111,505.13,Credit,Alinma,PL05 3098 0337 0574 5898 1793 8493,SAR
27-05-2025,5732,623.56,Credit,Alinma,AL63 1243 6374 QR43 CKA1 FGCY K1UJ,SAR
28-01-2025,6011,37.97,Debit,Alinma,FR80 6794 4211 20XU PLHD J4IM 455,SAR
04-07-2025,4111,341.68,Credit,Alinma,MU94 YIPN 9602 4975 5382 6280 296L IK,SAR
24-04-2025,6011,351.71,Debit,Alinma,FR69 0331 7857 36SA 9UJX RYL5 D86,SAR
24-02-2025,4111,229.88,Debit,Alinma,FR68 9256 1579 23YN WJ8B IRKL D48,SAR
06-01-2025,5814,981.41,Credit,Alinma,AD51 8573 3237 HLIJ 8Y86 SUFC,SAR
12-01-2025,5411,313.67,Debit,Alinma,AD27 6892 2743 WYSN E4HB 07P6,SAR
01-04-2025,4814,576.77,Debit,Alinma,FR95 1800 9163 85WU AD07 GBVG F43,SAR
07-04-2025,5912,979.99,Debit,Alinma,RO24 AKIO LYP1 NY9A PR9S QCA3,SAR
18-05-2025,5912,382.75,Credit,Alinma,FR89 1591 2683 90LJ R4CT QRWY V15,SAR
09-07-2025,4111,170.23,Debit,Alinma,FR77 9582 4877 38RK NXN3 FKK2 461,SAR
16-03-2025,5814,617.1,Debit,Alinma,FR45 2619 6777 88GU 6UGV SC6J C19,SAR
10-03-2025,4111,716.02,Credit,Alinma,FR06 5596 9191 41A5 GDJV FVCX P49,SAR
01-06-2025,5411,686.59,Debit,Alinma,MR97 2345 4760 3620 2688 9606 543,SAR
21-06-2025,4814,222.18,Credit,Alinma,KZ86 981C 8QHO RL65 WYPI,SAR
29-05-2025,7832,829.01,Credit,Alinma,EE60 3515 1359 1192 4422,SAR
01-02-2025,7011,736.98,Credit,Alinma,CR41 7584 7886 6380 3181 3,SAR
23-03-2025,4111,817.91,Debit,Alinma,IL93 1282 4704 8420 3966 509,SAR
03-04-2025,5541,939.06,Credit,Alinma,FR50 3810 7290 638N 8D1D 7IH5 O73,SAR
31-05-2025,5912,405.59,Debit,Alinma,PT69 9789 1966 2494 9907 4921 3,SAR
18-07-2025,5411,683.95,Debit,Alinma,IS02 5021 0377 2805 1102 0632 03,SAR
10-05-2025,5814,15.85,Debit,Alinma,HU83 2788 3912 4318 6941 5938 1866,SAR
27-06-2025,5732,218.82,Debit,Alinma,LT59 6241 1337 6777 1916,SAR
07-01-2025,5411,669.58,Debit,Alinma,FR39 1960 9327 59C2 CSD3 XG2S L58,SAR
19-05-2025,5541,215.12,Credit,Alinma,IE38 CTID 5877 7809 8250 43,SAR
12-03-2025,5732,73.62,Credit,Alinma,MD32 VLYM LRYM VLY0 AW1N 7ZSN,SAR
15-07-2025,5912,517.59,Credit,Alinma,KZ53 184P 1CSG LJMK GC8V,SAR
08-04-2025,6011,842.1,Credit,Alinma,ME85 8883 8555 8178 5895 98,SAR
29-04-2025,5912,299.96,Credit,Alinma,SK97 2486 4284 4548 4146 9657,SAR
03-01-2025,4814,104.78,Credit,Alinma,RS70 5341 2675 0915 2120 67,SAR
30-03-2025,5912,0.58,Credit,Alinma,RO47 KYKU 5673 4CYQ K3OI K1GA,SAR
08-02-2025,5732,794.58,Debit,Alinma,BE59 7629 6358 2866,SAR
09-07-2025,4814,506.66,Credit,Alinma,AD12 5620 6507 WM9P 61JC CGBX,SAR
31-03-2025,7011,333.21,Debit,Alinma,EE64 3015 5861 5700 3289,SAR
30-01-2025,5732,513.62,Debit,Alinma,FR02 6352 8393 32DR EPKJ G2UW I42,SAR
16-05-2025,5732,430.42,Credit,Alinma,KZ92 683I URBH H1UB OYA6,SAR
05-07-2025,5912,936.32,Debit,Alinma,AE14 4269 3140 2843 7031 750,SAR
24-07-2025,4814,124.46,Credit,Alinma,SI45 9360 6741 6169 973,SAR
20-05-2025,4111,263.41,Debit,Alinma,FR19 6422 3110 08TF QDEG 7A3B N23,SAR
27-06-2025,7011,880.27,Credit,Alinma,IE69 SSUE 8116 1367 6201 79,SAR
24-04-2025,6011,783.79,Debit,Alinma,AD74 5895 4876 7A5G 21PI 9UJM,SAR
04-04-2025,5411,489.46,Credit,Alinma,CH94 4738 98NT 2I2C CCJ6 K,SAR
06-03-2025,6011,876.96,Credit,Alinma,LU70 470M PT8Q TMRY QWOY,SAR
19-06-2025,5541,504.52,Debit,Alinma,NO70 3760 3948 913,SAR
16-06-2025,5912,325.38,Debit,Alinma,CH83 2756 0IAY XUOB 2JSU S,SAR
17-06-2025,4814,711.1,Debit,Alinma,FR40 4521 6067 60EU ET95 U8UF E51,SAR
30-07-2025,4111,361.24,Credit,Alinma,DK78 3910 8526 8478 28,SAR
30-04-2025,5541,781.35,Debit,Alinma,LB67 2951 JR6T ASO7 9T5U UVY9 VAGL,SAR
20-02-2025,5814,497.99,Credit,Alinma,FR03 8383 9724 37V4 FWCS WFZP D83,SAR
09-02-2025,7832,223.18,Debit,Alinma,ES32 5921 0037 1989 3606 8163,SAR
11-04-2025,5912,245.89,Debit,Alinma,SE47 6278 8916 3790 9963 4563,SAR
04-05-2025,5732,545.77,Debit,Alinma,AZ67 OPFT FFWP IIBB 4CS9 QE8P 9XAG,SAR
09-06-2025,5411,616.33,Credit,Alinma,BR35 0295 3764 5336 0675 2091 115Q Q,SAR
02-03-2025,6011,649.6,Credit,Alinma,BE06 0956 1424 7321,SAR
16-07-2025,5541,171.2,Credit,Alinma,MU74 OWCY 0111 5983 1298 4495 206V NM,SAR
26-04-2025,4814,439.06,Credit,Alinma,EE21 8546 1676 3578 2855,SAR
12-02-2025,7011,528.89,Debit,Alinma,DO88 NQKF 7947 5999 5545 6995 3852,SAR
23-03-2025,4111,774.73,Credit,Alinma,MR05 9967 9306 4320 6511 7855 874,SAR
04-04-2025,4111,791.01,Debit,Alinma,RO04 YADV PM2K RDVD GDZ6 WDV1,SAR
29-05-2025,4111,635.8,Credit,Alinma,AL05 5292 1976 5FPZ UOWE TUCI OKC2,SAR
29-01-2025,6011,603.6,Credit,Alinma,PT50 8090 0550 1135 5695 4528 2,SAR
01-05-2025,5814,435.09,Debit,Alinma,FR43 2179 2495 08DW B4PP POU7 Z46,SAR
14-02-2025,5411,695.79,Debit,Alinma,FR29 2742 0300 07AQ L31E KPNZ J83,SAR
04-01-2025,5814,857.93,Credit,Alinma,DE41 4136 0731 3383 2511 59,SAR
18-02-2025,7832,334.08,Credit,Alinma,ES75 4912 0159 4016 5348 4747,SAR
26-02-2025,5541,265.98,Debit,Alinma,MU30 KDRP 1725 1053 2974 2367 264B VI,SAR
26-02-2025,7832,181.01,Credit,Alinma,FR55 3823 2897 15CW XGCV YAXM J82,SAR
21-04-2025,7011,594.32,Debit,Alinma,IT62 Z946 4544 435V YMZR ABBC MH9,SAR
09-02-2025,7011,303.4,Debit,Alinma,SM43 B916 3082 978O ZNZM Z8TG U79,SAR
07-02-2025,7011,427.77,Debit,Alinma,IL71 8534 1414 7161 8599 013,SAR
26-05-2025,4111,906.68,Debit,Alinma,PT48 4097 9730 3774 6681 4724 1,SAR
15-07-2025,5814,119.73,Debit,Alinma,CY30 8761 9935 ZVNZ JYTV 019T FIIQ,SAR
29-04-2025,5541,95.54,Credit,Alinma,TR13 6383 7ZP2 KVAY U2MI PVND TP,SAR
21-06-2025,5411,209.57,Credit,Alinma,MC34 9911 9380 88EA VVCN Q5HA L59,SAR
12-03-2025,5541,836.07,Debit,Alinma,CZ63 6164 8849 6471 9216 8734,SAR
11-04-2025,5411,477.5,Debit,Alinma,MC96 3688 3604 70IO HHOH QFZK J38,SAR
05-04-2025,7832,382.86,Debit,Alinma,GB82 CJPY 1637 8782 8602 63,SAR
01-06-2025,5912,716.05,Credit,Alinma,BA34 2701 5598 8954 0608,SAR
01-02-2025,5732,213.29,Credit,Alinma,RO74 MFWP SSCE 6VVJ R2LU ZQMM,SAR
14-02-2025,5541,930.7,Debit,Alinma,FR55 2501 4847 95HE BPZA 3ZWP F90,SAR
12-01-2025,5411,250.96,Credit,Alinma,TN44 9342 8123 3752 2215 6777,SAR
30-01-2025,5814,905.73,Debit,Alinma,HU90 7891 7674 1523 4236 8506 2544,SAR
30-04-2025,4111,164.97,Credit,Alinma,GL20 7090 5443 8078 60,SAR
19-07-2025,5912,587.85,Debit,Alinma,BR22 4967 3534 8327 9454 5082 026R 7,SAR
09-04-2025,5814,701.42,Debit,Alinma,MC45 7110 2092 39ZZ 9LMA J0OA 076,SAR
17-06-2025,5541,402.57,Credit,Alinma,FR60 3687 8159 34K6 5WVQ OULP E47,SAR
10-05-2025,7011,428.0,Credit,Alinma,SM36 S989 7927 403J PTAM V8EK 99S,SAR
20-05-2025,5814,56.24,Debit,Alinma,EE36 7159 3934 5641 6755,SAR
13-07-2025,5732,561.79,Debit,Alinma,CH57 8640 7C8O ZHT0 A0QO U,SAR
31-05-2025,5732,193.16,Debit,Alinma,NO35 0594 7478 653,SAR
16-06-2025,5814,890.71,Credit,Alinma,RS20 1139 9519 1826 6486 02,SAR
19-01-2025,5411,85.91,Credit,Alinma,LV69 SWTM JWRU 9WUQ HWDG I,SAR
13-03-2025,7011,756.36,Credit,Alinma,AL38 6894 6071 38AP 9IKK WKTY 2A5C,SAR
30-03-2025,5541,759.5,Credit,Alinma,KW44 DMVQ WODP Y5R6 JSDD 9JYK AXMY SG,SAR
12-07-2025,4814,844.72,Credit,Alinma,FR09 1023 2835 38MV II99 AP5D J83,SAR
10-02-2025,7832,145.7,Debit,Alinma,LV42 PCSA LOSL 76KE EWHX R,SAR
04-01-2025,6011,250.98,Debit,Alinma,BE18 7939 9203 0613,SAR
11-02-2025,7832,453.03,Credit,Alinma,AL43 6123 8583 YSN8 J3PG 487P OPY0,SAR
18-04-2025,4111,809.9,Credit,Alinma,FR45 5738 1968 25ZW KIU3 JPSN Q41,SAR
07-02-2025,7011,526.2,Credit,Alinma,IL28 3199 4529 3441 8175 807,SAR
12-03-2025,5411,937.7,Credit,Alinma,MD52 ZPWN LSEM TMNJ 9MBI K46U,SAR
28-07-2025,7832,0.28,Credit,Alinma,TN25 0119 3755 4294 0827 2836,SAR
26-03-2025,5541,631.13,Debit,Alinma,IE82 HJHB 7423 2227 3204 26,SAR
01-06-2025,4111,506.25,Debit,Alinma,SE41 4866 6809 6773 7228 2382,SAR
08-07-2025,6011,561.45,Credit,Alinma,BH98 LXCJ X2XF KYOV 5I9W DK,SAR
14-04-2025,7011,832.42,Debit,Alinma,PS08 DWFQ FZK7 KK64 ICSV 8BN7 3LDK O,SAR
03-04-2025,6011,543.17,Debit,Alinma,FR87 5982 8268 69OE UC35 VAAW I07,SAR
18-04-2025,5541,159.26,Credit,Alinma,GT84 PJZX I1UK JF2L EDAK I2FC CENT,SAR
12-05-2025,5541,55.15,Debit,Alinma,NO92 0973 5123 151,SAR
14-06-2025,7832,718.7,Debit,Alinma,FR72 4976 8145 86BO FOJP 56JJ A53,SAR
11-01-2025,5541,607.23,Credit,Alinma,CY09 9223 6578 6POQ F8MV KTCC VBJC,SAR
07-02-2025,7011,810.32,Credit,Alinma,BG25 VHCX 7658 82J4 X17H ZZ,SAR
28-01-2025,5411,423.15,Credit,Alinma,FR25 7160 8022 007P 5JFV GKXR B35,SAR
28-03-2025,7011,601.17,Credit,Alinma,NL85 GGGJ 6395 5506 15,SAR
17-05-2025,7832,517.99,Credit,Alinma,FR70 3628 3005 517Y KNQV IB0H E41,SAR
29-03-2025,5411,279.13,Debit,Alinma,NO60 6120 3188 412,SAR
15-06-2025,7832,960.88,Debit,Alinma,KW63 FEXL NUEM R1X4 WGH9 9QRY ELKG LS,SAR
08-04-2025,5912,9.63,Debit,Alinma,CR87 3300 4002 5480 0866 8,SAR
25-01-2025,5912,528.44,Credit,Alinma,FR70 3384 5317 69XG YQIS 0GWS 973,SAR
17-02-2025,6011,289.68,Credit,Alinma,MU02 UUZC 9605 1704 0953 5731 899D SD,SAR
19-06-2025,5732,650.36,Credit,Alinma,PL44 5405 1956 9665 3883 7779 8385,SAR
10-01-2025,6011,422.06,Credit,Alinma,KW48 YXKA WUL6 JVAP JT9W IR6N DXQD CL,SAR
18-03-2025,5411,197.48,Credit,Alinma,LI37 7989 4DYO A5Q7 7JFX B,SAR
14-06-2025,5732,636.08,Credit,Alinma,CR61 2427 2116 6339 9324 1,SAR
05-05-2025,5912,913.68,Credit,Alinma,BG24 ZKWU 0334 83GO ZMR3 IP,SAR
29-01-2025,4814,855.75,Debit,Alinma,NO87 6779 9619 188,SAR
07-07-2025,4814,910.1,Debit,Alinma,FR55 7207 5006 73VK AJKC AZVK G44,SAR
27-01-2025,5814,263.99,Credit,Alinma,LB79 6115 4RHA 23VK XAEB CK4U MUZK,SAR
21-05-2025,5814,169.19,Credit,Alinma,GB15 KRQA 0640 7649 7400 37,SAR
20-06-2025,5541,583.92,Debit,Alinma,NL38 NECC 6829 2462 42,SAR
20-05-2025,5732,685.11,Credit,Alinma,TR13 1706 2ZUO UGTD UABY XIFY X9,SAR
02-01-2025,7011,561.3,Credit,Alinma,KW08 OLPF 54IT FNQN RK7B 8JEP JNMP FB,SAR
21-05-2025,4111,711.84,Credit,Alinma,SA32 30MU IJZM BXYG OGRZ 6UO4,SAR
21-06-2025,5732,245.19,Debit,Alinma,EE82 9089 0457 3995 8677,SAR
13-04-2025,5541,796.98,Credit,Alinma,FR41 4038 5070 033G 9ZJV KQFN V66,SAR
10-05-2025,5411,432.08,Credit,Alinma,IE15 TSVU 3993 9194 7734 38,SAR
07-05-2025,5541,501.7,Debit,Alinma,AL39 5602 7871 QRHW J3MU 8O7A KBVV,SAR
26-03-2025,7011,559.07,Credit,Alinma,AL10 1911 1912 WKQV CL3V SSNC FS3P,SAR
13-04-2025,4111,635.04,Debit,Alinma,AL25 5789 0080 NZF8 K6WX ZZ7N QOKP,SAR
16-04-2025,5814,5.39,Debit,Alinma,MU03 TWTN 2309 1057 2943 7194 214G MK,SAR
18-07-2025,4814,607.67,Debit,Alinma,DO44 B5AQ 1526 8406 2842 9568 9171,SAR
13-05-2025,4814,485.26,Debit,Alinma,TR94 4948 2SAA JB3I SRIZ 9VOL A2,SAR
22-03-2025,6011,343.23,Credit,Alinma,IT90 K244 7691 136O OPRA WDGE ZVW,SAR
10-04-2025,4111,667.37,Debit,Alinma,SM41 P573 0310 8649 CNA3 MSB0 3H9,SAR
05-01-2025,5732,785.6,Debit,Alinma,CR52 3815 7126 1123 3693 6,SAR
19-04-2025,5732,976.66,Debit,Alinma,NL50 YWMM 5182 4658 64,SAR
24-04-2025,5814,888.55,Credit,Alinma,LT50 9086 1525 1575 3453,SAR
06-04-2025,5541,47.9,Debit,Alinma,CH92 0774 0CUS Q5LX 34TZ R,SAR
07-04-2025,5541,918.72,Credit,Alinma,PL02 1971 3628 9329 0828 4260 2975,SAR
14-04-2025,4814,744.47,Debit,Alinma,KW29 HNBV XPIW WQXW TDQZ R5U6 TVXN QG,SAR
19-06-2025,5912,480.29,Credit,Alinma,BH28 DIJH SKSM VTES TFTN 8G,SAR
28-01-2025,7011,587.56,Debit,Alinma,AT38 3977 3036 1791 4064,SAR
22-06-2025,4111,980.54,Debit,Alinma,RO10 GTHC TTNZ EBP4 CT40 74HR,SAR
16-06-2025,5732,760.43,Debit,Alinma,LV73 WWWD TZIZ BSOY H0FM V,SAR
30-04-2025,4814,751.57,Debit,Alinma,IT08 U076 1584 588K VKM9 HHES 8JJ,SAR
27-02-2025,7011,912.18,Debit,Alinma,AD04 2920 1904 CSJU GFN0 FXB4,SAR
25-02-2025,5411,353.87,Credit,Alinma,LU79 7140 YM7P RTHU 5FAK,SAR
14-03-2025,5411,121.02,Debit,Alinma,FR36 8575 4793 43YA HQFA WOYV W80,SAR
04-02-2025,5814,296.25,Credit,Alinma,PT17 3680 6086 7906 0564 8205 0,SAR
23-03-2025,7832,951.05,Credit,Alinma,FO09 0548 1204 0313 45,SAR
29-01-2025,4814,652.41,Debit,Alinma,FR93 2788 7043 02TH 29JW MOUH M08,SAR
25-03-2025,7011,479.61,Debit,Alinma,SE72 5041 5559 1269 8618 5765,SAR
08-04-2025,5541,177.52,Debit,Alinma,LU89 175D HBUJ PBTT JU9Z,SAR
22-05-2025,7011,197.06,Credit,Alinma,SE21 5785 2045 2094 2337 8686,SAR
04-04-2025,7832,884.64,Debit,Alinma,DK04 8110 4318 2940 92,SAR
05-06-2025,5814,384.53,Debit,Alinma,IL66 5521 3576 4263 4177 643,SAR
30-05-2025,5411,56.95,Debit,Alinma,EE86 1907 2206 0936 2628,SAR
29-06-2025,7011,530.43,Debit,Alinma,AT56 0003 0521 2672 6928,SAR
05-02-2025,7011,245.55,Credit,Alinma,ES11 9178 4833 0359 9232 3514,SAR
